Store_ID,Store_Name,City,Manager_Name,Store_Type,Opening_Year,Total_Employees,Store_Area_sqft,Average_Monthly_Sales_INR
1055,RetailHub_1055,Chennai,Manager_55,Franchise,2021,84,2316,1749074
1056,RetailHub_1056,Coimbatore,Manager_56,Franchise,2020,29,3946,4633190
1057,RetailHub_1057,Bhopal,Manager_57,Franchise,2012,68,1212,4685501
1058,RetailHub_1058,Mumbai,Manager_58,Franchise,2015,74,1528,2879490
1059,RetailHub_1059,Lucknow,Manager_59,Franchise,2016,22,4148,4231916
1060,RetailHub_1060,Chennai,Manager_60,Company-Owned,2015,67,3608,3626188
1061,RetailHub_1061,Nagpur,Manager_61,Franchise,2015,74,1475,4887857
1062,RetailHub_1062,Chandigarh,Manager_62,Franchise,2015,19,4265,4810523
1063,RetailHub_1063,Patna,Manager_63,Franchise,2022,82,3304,1790141
1064,RetailHub_1064,Ahmedabad,Manager_64,Company-Owned,2012,20,3767,3745401
1065,RetailHub_1065,Nagpur,Manager_65,Franchise,2015,61,3586,4176083
1066,RetailHub_1066,Ahmedabad,Manager_66,Franchise,2017,69,1922,3808283
1067,RetailHub_1067,Chandigarh,Manager_67,Franchise,2020,54,4879,3548167
1068,RetailHub_1068,Surat,Manager_68,Company-Owned,2020,66,2371,2454908
1069,RetailHub_1069,Coimbatore,Manager_69,Franchise,2011,30,2943,3253694
1070,RetailHub_1070,Patna,Manager_70,Company-Owned,2014,27,2487,4319144
1071,RetailHub_1071,Surat,Manager_71,Company-Owned,2010,44,4932,1305062
1072,RetailHub_1072,Jaipur,Manager_72,Franchise,2021,33,4651,4984384
1073,RetailHub_1073,Patna,Manager_73,Company-Owned,2010,31,4240,2612162
1074,RetailHub_1074,Surat,Manager_74,Franchise,2014,77,4566,2550284
1075,RetailHub_1075,Delhi,Manager_75,Company-Owned,2021,33,3126,1866651
1076,RetailHub_1076,Pune,Manager_76,Company-Owned,2022,72,3714,2110205
1077,RetailHub_1077,Jaipur,Manager_77,Franchise,2012,69,4752,4473912
1078,RetailHub_1078,Delhi,Manager_78,Franchise,2013,76,1395,4638462
1079,RetailHub_1079,Bhopal,Manager_79,Company-Owned,2012,37,1528,1755195
1080,RetailHub_1080,Ahmedabad,Manager_80,Franchise,2010,23,2165,3387312
1081,RetailHub_1081,Indore,Manager_81,Franchise,2010,26,1498,4693976
1082,RetailHub_1082,Guwahati,Manager_82,Franchise,2021,15,1195,2868599
1083,RetailHub_1083,Kochi,Manager_83,Franchise,2021,72,4971,1213920
1084,RetailHub_1084,Ahmedabad,Manager_84,Company-Owned,2022,15,3302,4388532
1085,RetailHub_1085,Bengaluru,Manager_85,Franchise,2014,48,2619,2425541
1086,RetailHub_1086,Bengaluru,Manager_86,Franchise,2015,62,1517,2509433
1087,RetailHub_1087,Delhi,Manager_87,Franchise,2012,15,3582,2871403
1088,RetailHub_1088,Kolkata,Manager_88,Company-Owned,2021,30,4377,2553068
1089,RetailHub_1089,Lucknow,Manager_89,Franchise,2018,75,943,1653983
1090,RetailHub_1090,Pune,Manager_90,Company-Owned,2014,78,3940,2464492
1091,RetailHub_1091,Jaipur,Manager_91,Franchise,2017,77,3738,1821052
1092,RetailHub_1092,Pune,Manager_92,Company-Owned,2022,83,4436,2807150
1093,RetailHub_1093,Jaipur,Manager_93,Franchise,2010,36,4022,3225300
1094,RetailHub_1094,Ahmedabad,Manager_94,Franchise,2014,81,1967,2855567
1095,RetailHub_1095,Bhopal,Manager_95,Franchise,2012,90,3416,2534837
1096,RetailHub_1096,Mumbai,Manager_96,Company-Owned,2021,40,1862,4501268
1097,RetailHub_1097,Delhi,Manager_97,Company-Owned,2010,30,2956,4338442
1098,RetailHub_1098,Chandigarh,Manager_98,Franchise,2013,65,3782,1731899
1099,RetailHub_1099,Kolkata,Manager_99,Company-Owned,2022,71,4094,3381028
